,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
63709,2008,1,22,2,2058.0,2105,37.0,100,WN,1513,N329SW,159.0,175.0,140.0,-23.0,-7.0,PHX,STL,1262,4.0,15.0,0,,0,,,,,
124282,2008,1,7,1,1401.0,1410,1545.0,1545,XE,3094,N13989,104.0,95.0,79.0,0.0,-9.0,ALB,CLE,424,16.0,9.0,0,,0,,,,,
431153,2008,1,12,6,819.0,815,919.0,930,NW,454,N783NC,60.0,75.0,45.0,-11.0,4.0,CID,MSP,221,10.0,5.0,0,,0,,,,,
42094,2008,1,16,3,721.0,725,745.0,810,WN,1221,N619SW,84.0,105.0,71.0,-25.0,-4.0,BOI,OAK,511,5.0,8.0,0,,0,,,,,
342985,2008,1,7,1,1128.0,935,1242.0,1057,EV,4816,N931EV,74.0,82.0,55.0,105.0,113.0,ATL,OAJ,399,4.0,15.0,0,,0,105.0,0.0,0.0,0.0,0.0
92466,2008,1,31,4,925.0,925,1145.0,1145,WN,3927,N789SW,80.0,80.0,60.0,0.0,0.0,MDW,BUF,468,3.0,17.0,0,,0,,,,,
265011,2008,1,7,1,951.0,947,1342.0,1358,US,57,N665AW,171.0,191.0,149.0,-16.0,4.0,PHX,MSP,1276,8.0,14.0,0,,0,,,,,
41826,2008,1,16,3,1746.0,1745,2019.0,2020,WN,3060,N624SW,93.0,95.0,81.0,-1.0,1.0,ABQ,DAL,580,5.0,7.0,0,,0,,,,,
44831,2008,1,16,3,1745.0,1745,1851.0,1855,WN,212,N757LV,66.0,70.0,54.0,-4.0,0.0,SJC,ONT,333,4.0,8.0,0,,0,,,,,
142959,2008,1,20,7,1757.0,1750,1909.0,1925,YV,2651,N932LR,72.0,95.0,58.0,-16.0,7.0,CLT,SDF,336,4.0,10.0,0,,0,,,,,
442288,2008,1,15,2,1135.0,1145,1246.0,1248,NW,1047,N325NB,131.0,123.0,110.0,-2.0,-10.0,MSP,BIL,748,4.0,17.0,0,,0,,,,,
535111,2008,1,4,5,1927.0,1922,2217.0,2213,AS,555,N320AS,170.0,171.0,146.0,4.0,5.0,PSP,SEA,987,7.0,17.0,0,,0,,,,,
389440,2008,1,24,4,1151.0,1155,1310.0,1320,MQ,3470,N809AE,79.0,85.0,68.0,-10.0,-4.0,BTR,DFW,383,5.0,6.0,0,,0,,,,,
252689,2008,1,4,5,747.0,748,1047.0,1105,UA,1494,N453UA,120.0,137.0,103.0,-18.0,-1.0,RNO,DEN,804,7.0,10.0,0,,0,,,,,
419608,2008,1,7,1,1616.0,1610,1731.0,1735,MQ,4755,N832AE,75.0,85.0,50.0,-4.0,6.0,JFK,DCA,213,7.0,18.0,0,,0,,,,,
477182,2008,1,8,2,925.0,930,1748.0,1750,AA,2,N338AA,323.0,320.0,292.0,-2.0,-5.0,LAX,JFK,2475,15.0,16.0,0,,0,,,,,
235513,2008,1,31,4,1118.0,1115,1243.0,1244,UA,579,N925UA,85.0,89.0,71.0,-1.0,3.0,DEN,BIL,455,2.0,12.0,0,,0,,,,,
19063,2008,1,9,3,1558.0,1600,1846.0,1905,WN,2380,N482WN,288.0,305.0,276.0,-19.0,-2.0,BNA,SEA,1977,5.0,7.0,0,,0,,,,,
326715,2008,1,24,4,1256.0,1251,1245.0,1250,EV,4279,N848AS,49.0,59.0,34.0,-5.0,5.0,ATL,DHN,171,2.0,13.0,0,,0,,,,,
26737,2008,1,11,5,1720.0,1720,1817.0,1820,WN,1394,N235WN,117.0,120.0,95.0,-3.0,0.0,IAD,MDW,577,8.0,14.0,0,,0,,,,,
197931,2008,1,18,5,1941.0,1850,2039.0,2008,OO,6587,N706SK,178.0,198.0,157.0,31.0,51.0,SAT,LAX,1210,12.0,9.0,0,,0,0.0,0.0,0.0,0.0,31.0
262408,2008,1,5,6,1625.0,1622,2158.0,2159,US,614,N659AW,213.0,217.0,172.0,-1.0,3.0,PHX,ATL,1587,30.0,11.0,0,,0,,,,,
15935,2008,1,8,2,743.0,745,758.0,755,WN,319,N747SA,75.0,70.0,63.0,3.0,-2.0,CMH,MDW,284,5.0,7.0,0,,0,,,,,
206170,2008,1,24,4,1748.0,1750,1954.0,2000,OO,3941,N803SK,66.0,70.0,41.0,-6.0,-2.0,BNA,ATL,214,6.0,19.0,0,,0,,,,,
11445,2008,1,6,7,1219.0,1215,1321.0,1310,WN,337,N259WN,62.0,55.0,41.0,11.0,4.0,SEA,GEG,224,5.0,16.0,0,,0,,,,,
393894,2008,1,12,6,1055.0,1050,1152.0,1155,MQ,3660,N515AE,57.0,65.0,48.0,-3.0,5.0,LBB,DFW,282,5.0,4.0,0,,0,,,,,
367955,2008,1,21,1,1640.0,1644,2318.0,2319,FL,720,N281AT,218.0,215.0,186.0,-1.0,-4.0,LAS,IND,1591,12.0,20.0,0,,0,,,,,
418288,2008,1,25,5,1024.0,1030,1120.0,1135,MQ,4672,N723AE,56.0,65.0,43.0,-15.0,-6.0,DCA,RDU,227,3.0,10.0,0,,0,,,,,
90694,2008,1,30,3,1652.0,1655,1723.0,1725,WN,702,N720WN,91.0,90.0,76.0,-2.0,-3.0,TUS,LAX,451,5.0,10.0,0,,0,,,,,
415843,2008,1,27,7,1900.0,1905,2020.0,2020,MQ,4518,N697AB,80.0,75.0,64.0,0.0,-5.0,JAX,RDU,408,5.0,11.0,0,,0,,,,,
533765,2008,1,1,2,1007.0,1010,1219.0,1220,AS,526,N943AS,132.0,130.0,110.0,-1.0,-3.0,SEA,SFO,679,7.0,15.0,0,,0,,,,,
341959,2008,1,22,2,1610.0,1615,1659.0,1705,EV,4777,N390CA,109.0,110.0,84.0,-6.0,-5.0,ATL,STL,483,3.0,22.0,0,,0,,,,,
590764,2008,1,3,4,1330.0,1140,1421.0,1243,DL,795,N906DA,111.0,123.0,89.0,98.0,110.0,SLC,PDX,630,6.0,16.0,0,,0,0.0,0.0,0.0,0.0,98.0
600130,2008,1,10,4,620.0,620,916.0,901,DL,1703,N901DA,116.0,101.0,68.0,15.0,0.0,GEG,SLC,546,8.0,40.0,0,,0,0.0,0.0,15.0,0.0,0.0
430359,2008,1,22,2,1518.0,1518,1812.0,1752,NW,422,N504US,174.0,154.0,120.0,20.0,0.0,DTW,MCO,957,5.0,49.0,0,,0,0.0,0.0,20.0,0.0,0.0
325723,2008,1,9,3,1855.0,1855,2001.0,2006,EV,4241,N839AS,66.0,71.0,45.0,-5.0,0.0,CHS,ATL,259,9.0,12.0,0,,0,,,,,
395507,2008,1,26,6,1857.0,1845,2013.0,2005,MQ,3724,N803AE,76.0,80.0,58.0,8.0,12.0,CRP,DFW,354,4.0,14.0,0,,0,,,,,
496098,2008,1,31,4,1210.0,1215,1720.0,1735,AA,1024,N574AA,190.0,200.0,176.0,-15.0,-5.0,SJC,AUS,1476,4.0,10.0,0,,0,,,,,
201765,2008,1,21,1,1056.0,1104,1124.0,1119,OO,5734,N582SW,88.0,75.0,64.0,5.0,-8.0,YUM,LAX,237,7.0,17.0,0,,0,,,,,
242900,2008,1,18,5,948.0,945,1120.0,1111,UA,858,N373UA,92.0,86.0,57.0,9.0,3.0,SFO,LAX,337,12.0,23.0,0,,0,,,,,
359983,2008,1,9,3,2120.0,2120,2225.0,2218,FL,440,N317AT,125.0,118.0,102.0,7.0,0.0,ATL,MKE,669,6.0,17.0,0,,0,,,,,
173370,2008,1,3,4,1019.0,1025,1123.0,1139,OO,5539,N220SW,64.0,74.0,43.0,-16.0,-6.0,LAX,FAT,209,4.0,17.0,0,,0,,,,,
106682,2008,1,21,1,1147.0,1140,1326.0,1320,XE,2949,N13965,99.0,100.0,70.0,6.0,7.0,DTW,EWR,487,8.0,21.0,0,,0,,,,,
126227,2008,1,17,4,2129.0,2135,2359.0,2354,XE,2120,N11109,210.0,199.0,182.0,5.0,-6.0,IAH,SLC,1195,14.0,14.0,0,,0,,,,,
124765,2008,1,28,1,1304.0,1310,1600.0,1613,XE,2980,N13965,116.0,123.0,103.0,-13.0,-6.0,IAH,TYS,772,3.0,10.0,0,,0,,,,,
42746,2008,1,16,3,725.0,700,816.0,755,WN,4,N428WN,51.0,55.0,40.0,21.0,25.0,HOU,DAL,239,4.0,7.0,0,,0,21.0,0.0,0.0,0.0,0.0
297224,2008,1,1,2,2152.0,2120,2400.0,2345,WN,644,N749SW,68.0,85.0,61.0,15.0,32.0,OAK,BOI,511,3.0,4.0,0,,0,1.0,0.0,0.0,0.0,14.0
90101,2008,1,30,3,828.0,830,1006.0,1005,WN,485,N395SW,98.0,95.0,83.0,1.0,-2.0,SAN,SMF,480,6.0,9.0,0,,0,,,,,
29200,2008,1,12,6,700.0,705,733.0,745,WN,674,N509SW,93.0,100.0,83.0,-12.0,-5.0,AUS,ELP,528,2.0,8.0,0,,0,,,,,
389227,2008,1,25,5,,845,,1035,MQ,3459,,,110.0,,,,DFW,VPS,626,,,1,B,0,,,,,
410032,2008,1,26,6,954.0,855,1240.0,1145,MQ,4285,N676AE,106.0,110.0,79.0,55.0,59.0,ORD,CLT,599,5.0,22.0,0,,0,28.0,27.0,0.0,0.0,0.0
116073,2008,1,7,1,858.0,857,1022.0,1022,XE,2395,N14939,84.0,85.0,61.0,0.0,1.0,JAN,IAH,351,13.0,10.0,0,,0,,,,,
246678,2008,1,16,3,1622.0,1627,1707.0,1726,UA,1141,N921UA,105.0,119.0,89.0,-19.0,-5.0,ROC,ORD,528,7.0,9.0,0,,0,,,,,
351839,2008,1,22,2,1757.0,1807,1856.0,1902,F9,773,N950FR,119.0,115.0,100.0,-6.0,-10.0,DEN,LAS,629,9.0,10.0,0,,0,,,,,
95855,2008,1,22,2,1247.0,1255,1431.0,1434,XE,215,N16178,164.0,159.0,148.0,-3.0,-8.0,COS,SMF,911,5.0,11.0,0,,0,,,,,
485024,2008,1,3,4,1704.0,1640,1815.0,1755,AA,458,N4WWAA,71.0,75.0,49.0,20.0,24.0,IAH,DFW,224,13.0,9.0,0,,0,0.0,0.0,0.0,0.0,20.0
131682,2008,1,4,5,1643.0,1435,1816.0,1609,YV,7157,N522LR,93.0,94.0,72.0,127.0,128.0,IAD,BOS,413,7.0,14.0,0,,0,127.0,0.0,0.0,0.0,0.0
128625,2008,1,31,4,1849.0,1826,2132.0,2010,XE,2608,N31131,163.0,104.0,77.0,82.0,23.0,XNA,IAH,438,8.0,78.0,0,,0,0.0,1.0,59.0,0.0,22.0
145863,2008,1,24,4,1302.0,1306,1424.0,1437,YV,7264,N455YV,82.0,91.0,63.0,-13.0,-4.0,DEN,RAP,301,3.0,16.0,0,,0,,,,,
555334,2008,1,17,4,1333.0,1340,1650.0,1645,B6,27,N613JB,197.0,185.0,176.0,5.0,-7.0,JFK,RSW,1074,2.0,19.0,0,,0,,,,,
457725,2008,1,24,4,1610.0,1615,1800.0,1810,9E,2936,86469E,110.0,115.0,79.0,-10.0,-5.0,ABE,DTW,424,23.0,8.0,0,,0,,,,,
78069,2008,1,27,7,1732.0,1700,1959.0,1930,WN,3516,N652SW,87.0,90.0,73.0,29.0,32.0,ELP,DAL,562,4.0,10.0,0,,0,4.0,0.0,0.0,0.0,25.0
437153,2008,1,20,7,1517.0,1510,1749.0,1753,NW,756,N596NW,92.0,103.0,70.0,-4.0,7.0,MSP,DTW,528,9.0,13.0,0,,0,,,,,
147243,2008,1,26,6,1912.0,1920,2032.0,2048,YV,7189,N75998,80.0,88.0,58.0,-16.0,-8.0,CLT,IAD,321,6.0,16.0,0,,0,,,,,
540955,2008,1,18,5,2037.0,2045,2218.0,2227,AS,434,N626AS,101.0,102.0,79.0,-9.0,-8.0,PDX,OAK,543,5.0,17.0,0,,0,,,,,
262140,2008,1,5,6,1005.0,946,1214.0,1054,US,105,N314AW,129.0,68.0,43.0,80.0,19.0,LAX,LAS,236,25.0,61.0,0,,0,0.0,0.0,74.0,0.0,6.0
170204,2008,1,1,2,1230.0,1230,1405.0,1403,OO,5811,N719SK,95.0,93.0,62.0,2.0,0.0,ORD,OMA,416,3.0,30.0,0,,0,,,,,
498834,2008,1,12,6,,600,,820,AA,1107,,,200.0,,,,DCA,DFW,1192,,,1,A,0,,,,,
310554,2008,1,21,1,1812.0,1802,2022.0,2018,DL,1652,N628DL,130.0,136.0,107.0,4.0,10.0,MCO,CVG,756,6.0,17.0,0,,0,,,,,
525864,2008,1,25,5,1545.0,1540,1648.0,1640,AA,2281,N3AMAA,123.0,120.0,102.0,8.0,5.0,DFW,DEN,641,6.0,15.0,0,,0,,,,,
65557,2008,1,23,3,1654.0,1655,1756.0,1755,WN,2039,N392SW,62.0,60.0,45.0,1.0,-1.0,HOU,MSY,303,3.0,14.0,0,,0,,,,,
226504,2008,1,31,4,830.0,835,1343.0,1350,UA,310,N404UA,193.0,195.0,166.0,-7.0,-5.0,DEN,BWI,1491,5.0,22.0,0,,0,,,,,
465620,2008,1,19,6,,1700,,1915,9E,5620,,,195.0,,,,ALB,MSP,979,,,1,A,0,,,,,
147490,2008,1,26,6,1440.0,1430,1520.0,1510,YV,1025,N655BR,40.0,40.0,29.0,10.0,10.0,KOA,HNL,163,6.0,5.0,0,,0,,,,,
448214,2008,1,29,2,1906.0,1823,2037.0,2006,NW,1462,N924RW,91.0,103.0,68.0,31.0,43.0,STL,MSP,449,8.0,15.0,0,,0,14.0,0.0,0.0,0.0,17.0
599684,2008,1,10,4,1859.0,1900,2115.0,2120,DL,1100,N662DN,136.0,140.0,113.0,-5.0,-1.0,ATL,BDL,859,4.0,19.0,0,,0,,,,,
183462,2008,1,9,3,1633.0,1640,1834.0,1835,OO,6024,N941SW,61.0,55.0,29.0,-1.0,-7.0,ORD,FWA,157,5.0,27.0,0,,0,,,,,
477678,2008,1,20,7,751.0,800,1553.0,1620,AA,24,N342AA,302.0,320.0,279.0,-27.0,-9.0,SFO,JFK,2586,8.0,15.0,0,,0,,,,,
334923,2008,1,25,5,1700.0,1700,2003.0,2011,EV,4532,N744EV,123.0,131.0,99.0,-8.0,0.0,AUS,ATL,813,12.0,12.0,0,,0,,,,,
457508,2008,1,22,2,1707.0,1702,1833.0,1830,9E,2929,87589E,86.0,88.0,62.0,3.0,5.0,DTW,SDF,306,6.0,18.0,0,,0,,,,,
83818,2008,1,28,1,1126.0,1130,1253.0,1305,WN,3333,N481WN,87.0,95.0,77.0,-12.0,-4.0,TUL,HOU,453,3.0,7.0,0,,0,,,,,
330568,2008,1,29,2,1655.0,1655,1930.0,1934,EV,4392,N933EV,95.0,99.0,68.0,-4.0,0.0,LFT,ATL,503,11.0,16.0,0,,0,,,,,
602343,2008,1,12,6,942.0,854,1125.0,1033,DL,1433,N972DL,223.0,219.0,189.0,52.0,48.0,ATL,ABQ,1269,5.0,29.0,0,,0,48.0,0.0,4.0,0.0,0.0
529358,2008,1,24,4,1150.0,1140,1417.0,1415,AA,2486,N208AA,147.0,155.0,131.0,2.0,10.0,AUS,ORD,978,7.0,9.0,0,,0,,,,,
402692,2008,1,15,2,1334.0,1315,1613.0,1555,MQ,4015,N629AE,99.0,100.0,74.0,18.0,19.0,ORD,ROC,528,5.0,20.0,0,,0,0.0,10.0,0.0,0.0,8.0
132277,2008,1,5,6,1752.0,1758,1827.0,1843,YV,7063,N447YV,35.0,45.0,21.0,-16.0,-6.0,DEN,COS,72,5.0,9.0,0,,0,,,,,
402788,2008,1,22,2,1007.0,935,1255.0,1210,MQ,4018,N900AE,108.0,95.0,72.0,45.0,32.0,ORD,ROC,528,5.0,31.0,0,,0,0.0,3.0,13.0,0.0,29.0
111940,2008,1,7,1,1347.0,1340,1553.0,1553,XE,2476,N16502,126.0,133.0,107.0,0.0,7.0,EWR,CVG,569,6.0,13.0,0,,0,,,,,
473640,2008,1,3,4,1557.0,1328,1900.0,1629,9E,5869,80139E,123.0,121.0,89.0,151.0,149.0,OMA,DTW,651,19.0,15.0,0,,0,0.0,0.0,2.0,0.0,149.0
3002,2008,1,4,5,1317.0,1315,1323.0,1330,WN,1192,N470WN,66.0,75.0,53.0,-7.0,2.0,CLE,MDW,307,6.0,7.0,0,,0,,,,,
509606,2008,1,1,2,1232.0,1235,1412.0,1425,AA,1481,N4XLAA,220.0,230.0,197.0,-13.0,-3.0,DFW,OAK,1456,4.0,19.0,0,,0,,,,,
344959,2008,1,8,2,1341.0,1314,1505.0,1446,EV,4882,N873AS,144.0,152.0,124.0,19.0,27.0,ATL,AUS,813,4.0,16.0,0,,0,19.0,0.0,0.0,0.0,0.0
195591,2008,1,17,4,1403.0,1307,1456.0,1403,OO,5566,N293SW,53.0,56.0,36.0,53.0,56.0,FAT,SFO,158,7.0,10.0,0,,0,0.0,0.0,0.0,0.0,53.0
328881,2008,1,1,2,1035.0,1035,1336.0,1343,EV,4338,N977EV,121.0,128.0,95.0,-7.0,0.0,AUS,ATL,813,9.0,17.0,0,,0,,,,,
132513,2008,1,5,6,1900.0,1728,2105.0,1939,YV,2846,N77286,65.0,71.0,45.0,86.0,92.0,LAS,PHX,256,6.0,14.0,0,,0,86.0,0.0,0.0,0.0,0.0
455828,2008,1,27,7,1415.0,1415,1450.0,1500,9E,2863,87719E,35.0,45.0,19.0,-10.0,0.0,MSP,RST,76,2.0,14.0,0,,0,,,,,
266508,2008,1,8,2,601.0,600,852.0,851,US,158,N677AW,111.0,111.0,88.0,1.0,1.0,SMF,PHX,647,6.0,17.0,0,,0,,,,,
146079,2008,1,24,4,941.0,950,1108.0,1117,YV,7209,N77331,87.0,87.0,56.0,-9.0,-9.0,LGA,IAD,229,9.0,22.0,0,,0,,,,,
476036,2008,1,16,3,1611.0,1620,1715.0,1725,9E,5939,84169E,64.0,65.0,46.0,-10.0,-9.0,BHM,MEM,211,8.0,10.0,0,,0,,,,,
452712,2008,1,25,5,1323.0,1323,1622.0,1619,NW,1750,N781NC,119.0,116.0,92.0,3.0,0.0,MCI,DTW,629,12.0,15.0,0,,0,,,,,
500522,2008,1,25,5,1439.0,1430,1521.0,1515,AA,1161,N504AA,102.0,105.0,86.0,6.0,9.0,DFW,ELP,551,3.0,13.0,0,,0,,,,,
360496,2008,1,10,4,810.0,810,951.0,956,FL,71,N991AT,101.0,106.0,85.0,-5.0,0.0,ATL,FLL,581,5.0,11.0,0,,0,,,,,
459148,2008,1,10,4,1705.0,1710,2001.0,2033,9E,2981,85169E,116.0,143.0,99.0,-32.0,-5.0,JAN,DTW,777,12.0,5.0,0,,0,,,,,
85909,2008,1,29,2,1551.0,1550,2114.0,2130,WN,809,N210WN,203.0,220.0,186.0,-16.0,1.0,OAK,HOU,1642,3.0,14.0,0,,0,,,,,
26219,2008,1,11,5,1806.0,1810,2027.0,2050,WN,698,N609SW,141.0,160.0,127.0,-23.0,-4.0,CLE,MCO,895,7.0,7.0,0,,0,,,,,
249715,2008,1,12,6,1854.0,1855,2040.0,2057,UA,1237,N427UA,106.0,122.0,87.0,-17.0,-1.0,SEA,SFO,679,4.0,15.0,0,,0,,,,,
4900,2008,1,4,5,1040.0,1020,1151.0,1125,WN,3419,N242WN,71.0,65.0,48.0,26.0,20.0,PHX,ELP,347,4.0,19.0,0,,0,18.0,0.0,6.0,0.0,2.0
71705,2008,1,25,5,1206.0,1205,1437.0,1450,WN,1398,N713SW,151.0,165.0,130.0,-13.0,1.0,BUF,MCO,1011,6.0,15.0,0,,0,,,,,
84138,2008,1,29,2,1610.0,1610,1706.0,1710,WN,1130,N347SW,56.0,60.0,45.0,-4.0,0.0,BOI,SLC,291,3.0,8.0,0,,0,,,,,
259489,2008,1,3,4,1139.0,1132,1612.0,1615,US,390,N620AW,153.0,163.0,121.0,-3.0,7.0,LAS,DFW,1055,7.0,25.0,0,,0,,,,,
414325,2008,1,5,6,719.0,720,1002.0,1005,MQ,4455,N802AE,163.0,165.0,146.0,-3.0,-1.0,IND,MIA,1021,5.0,12.0,0,,0,,,,,
237260,2008,1,10,4,620.0,630,851.0,856,UA,636,N837UA,91.0,86.0,58.0,-5.0,-10.0,ORD,PIT,412,17.0,16.0,0,,0,,,,,
224857,2008,1,31,4,1131.0,1130,1307.0,1304,UA,245,N566UA,156.0,154.0,140.0,3.0,1.0,DEN,SJC,948,3.0,13.0,0,,0,,,,,
176395,2008,1,5,6,,1512,,1632,OO,4117,N340CA,,80.0,,,,ASE,SLC,291,,,1,B,0,,,,,
507772,2008,1,22,2,1553.0,1430,1754.0,1630,AA,1417,N4WBAA,241.0,240.0,222.0,84.0,83.0,ORD,LAS,1515,8.0,11.0,0,,0,0.0,0.0,14.0,0.0,70.0
411762,2008,1,27,7,1228.0,1230,1421.0,1430,MQ,4351,N925AE,53.0,60.0,42.0,-9.0,-2.0,ORD,FNT,223,2.0,9.0,0,,0,,,,,
104215,2008,1,27,7,1656.0,1650,1812.0,1813,XE,2030,N16961,76.0,83.0,49.0,-1.0,6.0,ROC,EWR,246,15.0,12.0,0,,0,,,,,
250849,2008,1,31,4,752.0,650,937.0,819,UA,1431,N401UA,105.0,89.0,80.0,78.0,62.0,LAS,SFO,414,14.0,11.0,0,,0,62.0,0.0,16.0,0.0,0.0
196109,2008,1,17,4,753.0,758,1047.0,1050,OO,6344,N938SW,114.0,112.0,95.0,-3.0,-5.0,SFO,SLC,599,6.0,13.0,0,,0,,,,,
31773,2008,1,12,6,1316.0,1320,1528.0,1545,WN,340,N305SW,192.0,205.0,180.0,-17.0,-4.0,STL,PHX,1262,6.0,6.0,0,,0,,,,,
183664,2008,1,9,3,,1040,,1516,OO,6481,N728SK,,156.0,,,,LAX,ICT,1203,,,1,A,0,,,,,
192379,2008,1,15,2,2007.0,1915,2122.0,2030,OO,5575,N289YV,75.0,75.0,55.0,52.0,52.0,SFO,BFL,238,3.0,17.0,0,,0,52.0,0.0,0.0,0.0,0.0
509867,2008,1,18,5,1617.0,1605,1747.0,1730,AA,1489,N415AA,90.0,85.0,66.0,17.0,12.0,DFW,MSY,448,3.0,21.0,0,,0,1.0,0.0,5.0,0.0,11.0
408235,2008,1,2,3,708.0,645,1008.0,900,MQ,4221,N697AB,120.0,75.0,54.0,68.0,23.0,ORD,CLE,316,6.0,60.0,0,,0,23.0,0.0,45.0,0.0,0.0
196360,2008,1,17,4,942.0,950,1311.0,1309,OO,6642,N932SW,149.0,139.0,130.0,2.0,-8.0,BUR,DEN,850,8.0,11.0,0,,0,,,,,
579729,2008,1,1,2,2048.0,2050,12.0,2315,CO,1571,N17326,204.0,145.0,135.0,57.0,-2.0,CLE,MCO,895,5.0,64.0,0,,0,0.0,0.0,57.0,0.0,0.0
36534,2008,1,14,1,1901.0,1905,2009.0,2050,WN,619,N674AA,188.0,225.0,168.0,-41.0,-4.0,MCI,LAX,1363,14.0,6.0,0,,0,,,,,
195476,2008,1,17,4,900.0,905,933.0,943,OO,5457,N251YV,33.0,38.0,14.0,-10.0,-5.0,LAX,OXR,49,3.0,16.0,0,,0,,,,,
301316,2008,1,2,3,1958.0,1950,2210.0,2205,WN,336,N641SW,72.0,75.0,56.0,5.0,8.0,SEA,BOI,399,3.0,13.0,0,,0,,,,,
472619,2008,1,17,4,1718.0,1716,1815.0,1825,9E,5835,89239E,57.0,69.0,33.0,-10.0,2.0,DTW,CMH,155,7.0,17.0,0,,0,,,,,
452194,2008,1,3,4,657.0,700,737.0,743,NW,1717,N763NW,40.0,43.0,22.0,-6.0,-3.0,RST,MSP,76,7.0,11.0,0,,0,,,,,
122215,2008,1,4,5,841.0,840,938.0,938,XE,2603,N13958,117.0,118.0,101.0,0.0,1.0,IAH,ELP,667,3.0,13.0,0,,0,,,,,
258016,2008,1,2,3,1022.0,1015,1248.0,1241,US,1491,N715UW,146.0,146.0,127.0,7.0,7.0,DCA,TPA,814,3.0,16.0,0,,0,,,,,
139439,2008,1,15,2,1321.0,1330,1435.0,1453,YV,7194,N445YV,74.0,83.0,59.0,-18.0,-9.0,DEN,DRO,251,4.0,11.0,0,,0,,,,,
521158,2008,1,30,3,1001.0,1000,1112.0,1120,AA,1956,N3CJAA,71.0,80.0,57.0,-8.0,1.0,DFW,MSY,448,5.0,9.0,0,,0,,,,,
147909,2008,1,27,7,925.0,925,1117.0,1117,YV,2639,N931LR,112.0,112.0,91.0,0.0,0.0,CLT,ROC,573,8.0,13.0,0,,0,,,,,
68845,2008,1,24,4,2110.0,2110,2342.0,2315,WN,1301,N735SA,212.0,185.0,179.0,27.0,0.0,FLL,MDW,1166,6.0,27.0,0,,0,0.0,0.0,27.0,0.0,0.0
40111,2008,1,15,2,1544.0,1545,1717.0,1725,WN,2620,N498WN,93.0,100.0,81.0,-8.0,-1.0,MCO,RDU,534,2.0,10.0,0,,0,,,,,
105788,2008,1,29,2,1733.0,1745,1930.0,1925,XE,3135,N13979,177.0,160.0,157.0,5.0,-12.0,CVG,IAH,871,13.0,7.0,0,,0,,,,,
585788,2008,1,30,3,1222.0,1222,1500.0,1454,CO,1504,N16703,158.0,152.0,126.0,6.0,0.0,TPA,CLE,927,8.0,24.0,0,,0,,,,,
198589,2008,1,19,6,1840.0,1839,1935.0,1933,OO,5441,N393SW,55.0,54.0,33.0,2.0,1.0,LAX,PSP,110,5.0,17.0,0,,0,,,,,
580619,2008,1,28,1,735.0,740,1244.0,1221,CO,282,N73251,249.0,221.0,213.0,23.0,-5.0,IAH,BOS,1597,6.0,30.0,0,,0,0.0,0.0,23.0,0.0,0.0
599429,2008,1,10,4,1855.0,1847,2051.0,2100,DL,750,N911DL,116.0,133.0,93.0,-9.0,8.0,BWI,ATL,576,11.0,12.0,0,,0,,,,,
40184,2008,1,15,2,1341.0,1340,1716.0,1735,WN,1291,N782SA,155.0,175.0,143.0,-19.0,1.0,MDW,FLL,1166,3.0,9.0,0,,0,,,,,
171761,2008,1,2,3,1828.0,1735,1916.0,1811,OO,5721,N308SW,48.0,36.0,29.0,65.0,53.0,EUG,PDX,106,5.0,14.0,0,,0,0.0,0.0,0.0,0.0,65.0
182343,2008,1,9,3,1754.0,1759,2054.0,2115,OO,1998,N814SK,120.0,136.0,98.0,-21.0,-5.0,DFW,CVG,812,6.0,16.0,0,,0,,,,,
562637,2008,1,31,4,35.0,30,831.0,835,B6,88,N662JB,296.0,305.0,278.0,-4.0,5.0,ONT,JFK,2430,8.0,10.0,0,,0,,,,,
138982,2008,1,14,1,1425.0,1426,1633.0,1657,YV,2827,N913FJ,188.0,211.0,168.0,-24.0,-1.0,MEM,PHX,1263,6.0,14.0,0,,0,,,,,
585530,2008,1,20,7,1435.0,1440,1619.0,1620,CO,330,N14645,104.0,100.0,80.0,-1.0,-5.0,EWR,RDU,416,9.0,15.0,0,,0,,,,,
164379,2008,1,23,3,700.0,700,842.0,830,OH,5601,N712CA,102.0,90.0,74.0,12.0,0.0,BOS,PHL,280,8.0,20.0,0,,0,,,,,
170999,2008,1,2,3,2059.0,2103,2153.0,2200,OO,3679,N236SW,54.0,57.0,32.0,-7.0,-4.0,SLC,PIH,150,3.0,19.0,0,,0,,,,,
437456,2008,1,28,1,1336.0,1346,1541.0,1524,NW,768,N750NW,125.0,98.0,84.0,17.0,-10.0,DTW,MHT,609,7.0,34.0,0,,0,0.0,0.0,17.0,0.0,0.0
509957,2008,1,19,6,1248.0,1220,1631.0,1605,AA,1494,N550AA,163.0,165.0,147.0,26.0,28.0,DFW,FLL,1119,5.0,11.0,0,,0,26.0,0.0,0.0,0.0,0.0
343080,2008,1,25,5,800.0,800,1026.0,1027,EV,4818,N633AS,86.0,87.0,68.0,-1.0,0.0,PFN,ATL,247,7.0,11.0,0,,0,,,,,
